City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
572,Celestun,MX,20.8667,-90.4,76.93,75,0,10.38,clear sky
573,Marzuq,YE,14.4,46.4667,61.52,68,3,3.8,clear sky
574,Thunder Bay,CA,48.4001,-89.3168,42.78,100,100,4.61,overcast clouds
575,Santo Domingo,DO,18.5001,-69.9886,81.03,89,40,1.99,scattered clouds
576,Turayf,SA,31.6725,38.6637,48.45,100,0,4.61,clear sky
577,Dubbo,AU,-32.25,148.6167,77.13,44,75,11.5,broken clouds
578,Sola,VU,-13.8833,167.55,84.87,84,75,5.75,broken clouds
579,Qui Nhon,VN,13.7667,109.2333,80.15,80,90,14.18,overcast clouds
580,Seoul,KR,37.5683,126.9778,62.2,59,0,4.61,haze
581,Ust-Maya,RU,60.4167,134.5333,-4.22,93,100,3.38,overcast clouds
582,Jodhpur,IN,26.2867,73.03,75.58,31,0,1.01,clear sky
583,Maragogi,BR,-9.0122,-35.2225,75.33,82,52,4.41,broken clouds
584,Monrovia,LR,6.3005,-10.7969,76.33,87,22,4.85,moderate rain
585,Westport,US,41.1415,-73.3579,51.62,75,0,11.5,clear sky
586,Denizli,TR,37.8402,29.0698,47.62,67,0,2.01,clear sky
587,Manta,EC,-0.95,-80.7333,71.38,83,0,4.61,clear sky
588,Inuvik,CA,68.3499,-133.7218,20.26,79,75,9.22,broken clouds
589,Balashov,RU,51.5502,43.1667,39.34,82,100,8.03,overcast clouds
590,Mineiros,BR,-17.5694,-52.5511,70.43,41,0,0.51,clear sky
591,Rafraf,TN,37.1904,10.1837,53.92,61,100,3.65,overcast clouds
592,Baijiantan,CN,45.6333,85.1833,38.84,47,100,3.98,overcast clouds
593,Socorro,US,31.6546,-106.3033,72.61,25,0,16.11,clear sky
594,Avdiyivka,UA,48.1399,37.7426,38.41,88,12,4.45,few clouds
595,Puerto Leguizamo,CO,-0.1934,-74.7819,74.17,93,96,3.13,overcast clouds
596,Ziyang,CN,29.2497,117.8547,83.98,43,34,0.92,scattered clouds
597,Georgetown,MY,5.4112,100.3354,87.73,73,20,5.75,few clouds
598,Asfi,MA,32.2994,-9.2372,63.55,90,0,11.23,clear sky
599,Sandy Bay,AU,-42.913,147.3532,82.09,48,75,17.27,broken clouds
600,Valentin Gomez Farias,MX,28.2167,-106.5833,57.96,39,2,9.73,clear sky
601,Kysyl-Syr,RU,63.8986,122.7617,8.73,94,100,4.74,light snow
602,Jutai,BR,-5.1833,-68.9,74.55,80,54,3.71,broken clouds
603,Ust-Nera,RU,64.5667,143.2,-19.98,97,61,4.76,broken clouds
604,Kodinsk,RU,58.6881,99.1844,24.51,83,100,9.71,overcast clouds
605,Camacha,PT,33.0833,-16.3333,63.82,77,20,4.61,few clouds
606,Kolpny,RU,52.2282,37.0368,39.25,92,100,8.03,overcast clouds
607,Pareora,NZ,-44.4871,171.2132,53.44,72,92,11.1,overcast clouds
608,Puerto Escondido,MX,15.85,-97.0667,81.43,65,75,3.44,broken clouds
609,Ishinomaki,JP,38.4167,141.3,64.4,47,100,6.13,overcast clouds
610,Kattivakkam,IN,13.2167,80.3167,80.69,68,90,8.75,overcast clouds
611,Ahmadpur Sial,PK,30.6754,71.7483,72.55,44,6,4.63,clear sky
612,Hobyo,SO,5.3505,48.5268,80.4,66,2,13.0,clear sky
613,Duayaw Nkwanta,GH,7.1724,-2.1028,68.49,98,100,2.71,overcast clouds
614,Vulcanesti,MD,45.6842,28.4028,45.39,91,24,7.45,few clouds
615,Chulman,RU,56.8479,124.9104,16.77,81,93,1.81,overcast clouds
616,Farafangana,MG,-22.8167,47.8333,76.1,76,41,10.36,scattered clouds
617,Panshi,CN,42.9422,126.0561,51.42,67,85,1.21,overcast clouds
618,Meiganga,CM,6.5167,14.3,64.8,57,11,2.04,few clouds
619,Witu,KE,-2.3889,40.4382,75.36,88,98,3.74,light rain
620,Shambu,ET,9.5667,37.1,52.07,84,87,0.72,light rain
621,Turukhansk,RU,65.8167,87.9833,-16.56,100,100,3.22,overcast clouds
622,Mabai,CN,23.0128,104.4508,65.88,62,24,5.3,few clouds
623,Vanimo,PG,-2.6741,141.3028,82.9,84,88,7.18,overcast clouds
624,Karasjok,NO,69.4719,25.5112,23.97,99,98,3.69,overcast clouds
625,Ipora,BR,-16.4419,-51.1178,71.28,71,15,1.95,few clouds
626,Douglas,US,41.3,-96.167,68.67,81,100,20.71,overcast clouds
627,Amapa,BR,1.0,-52.0,71.62,100,100,1.21,overcast clouds
628,Farah,AF,32.5,62.5,56.82,38,0,1.1,clear sky
